gi_number	country	geo_loc	collection_year	host	comment	isolate
EU478514	Burkina Faso	-	2007	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	138BF
EU478515	Burkina Faso	-	2007	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	139BF
EU478516	Burkina Faso	-	2007	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	141BF
EU478517	Burkina Faso	-	2007	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	143BF
EU478518	Burkina Faso	-	2007	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	49BF
EU478519	Burkina Faso	-	2007	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	87BF
EU478520	Burkina Faso	-	2007	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	94BF
EU478521	Burkina Faso	-	2007	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	95BF
EU478522	Burkina Faso	-	2007	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	96BF
EU478523	Burkina Faso	-	2007	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	132BF
EU478524	Burkina Faso	-	2007	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	142BF
EU514571	Niger	-	2007	Canis lupus familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	246NIG/07
EU514572	Niger	-	2007	Canis lupus familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	247NIG/07
EU514573	Niger	-	2007	Canis lupus familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	251NIG/07
EU514574	Niger	-	2007	Canis lupus familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	252NIG/07
EU514575	Mauritania	-	2005	Canis lupus familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	1920MAU/05
EU514576	Mauritania	-	2005	Canis lupus familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	1922MAU/05
EU514577	Mauritania	-	2005	Canis lupus familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	1923MAU/05
