gi_number	country	geo_loc	collection_year	host	comment	isolate
HM368104		Accra			These viruses had no specific location reported within Accra. Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368106		Accra			These viruses had no specific location reported within Accra. Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368107		Abeka La-Paz			Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368108		Pokuase			Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368109		Cape Coast			Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368110		Kofondua			Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368111		Accra			These viruses had no specific location reported within Accra. Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368112		Accra			These viruses had no specific location reported within Accra. Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368114		Accra			These viruses had no specific location reported within Accra. Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368115		Brekusa			Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368116		Accra			These viruses had no specific location reported within Accra. Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368117		Accra			These viruses had no specific location reported within Accra. Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368118		Somanya			Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368119		Kasoa			Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368120		Accra			These viruses had no specific location reported within Accra. Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
